publishedAtDate;stars;text;title
2023-02-22T08:05:48.410Z;5;;OBI Markt Wien Triester Str.
2023-02-21T18:58:10.938Z;5;Güzel bir ali?veri? magzasi çok begeniyorum kalite güzel;OBI Markt Wien Triester Str.
2023-02-21T18:01:04.588Z;5;;OBI Markt Wien Triester Str.
2023-02-21T13:10:11.445Z;5;;OBI Markt Wien Triester Str.
2023-02-19T15:37:52.689Z;4;;OBI Markt Wien Triester Str.
2023-02-19T13:58:51.621Z;4;;OBI Markt Wien Triester Str.
2023-02-18T21:48:24.547Z;4;;OBI Markt Wien Triester Str.
2023-02-18T21:45:18.092Z;5;"Hochkompetente und bemühte Mitarbeiter (mindestens sieben)!
Vor Allem in der Pflanzenabteilung und an den Kassen!
Engagiert, flexibel und geduldig.";OBI Markt Wien Triester Str.
2023-02-18T19:48:37.966Z;4;;OBI Markt Wien Triester Str.
2023-02-16T16:23:44.406Z;5;;OBI Markt Wien Triester Str.
2023-02-15T17:14:32.814Z;2;Markt selber ist Gut, leider nehmen sich Mitarbeiter nicht wirklich Zeit. Ervmeinteves ist eine M 12 Mutter mit Schublehre gemessen, war aber eine M 14. Naja echt;OBI Markt Wien Triester Str.
2023-02-14T12:10:05.171Z;1;Die an der Kasse und Info sollten rechnen lernen, nicht einmal entschuldigen für den Fehler. normal bei Obi.;OBI Markt Wien Triester Str.
2023-02-12T15:06:30.681Z;5;Die Einfahrt auf den Parkplatz/die Tiefgarage ist etwas verwirrend beim ersten Mal, aber ansonsten einwandfrei!;OBI Markt Wien Triester Str.
2023-02-11T14:45:16.741Z;5;;OBI Markt Wien Triester Str.
2023-02-11T09:53:22.306Z;5;;OBI Markt Wien Triester Str.
2023-02-10T16:15:36.644Z;5;;OBI Markt Wien Triester Str.
2023-02-10T12:36:23.663Z;5;Sehr gut;OBI Markt Wien Triester Str.
2023-02-09T11:06:21.341Z;5;;OBI Markt Wien Triester Str.
2023-02-08T19:11:57.820Z;5;;OBI Markt Wien Triester Str.
2023-02-08T11:06:23.812Z;5;Super;OBI Markt Wien Triester Str.
2023-02-08T08:07:11.812Z;5;Gute und große Auswahl - Personal ist auch durchaus freundlich.;OBI Markt Wien Triester Str.
2023-02-08T07:52:56.663Z;5;"Ein typischer Baumarkt. Dieser ist recht neu, 2-geschossig. Große Auswahl, günstige zentrale Lage, großer Parkplatz mit Parkgarage.
Normalerweise doch greifbares Personal.
War auch heute so in der Gartenabteilung. Nur war der Mann allein unten in der Warenausgabe arm. Entsprechend ungeduldig waren die Leute.";OBI Markt Wien Triester Str.
2023-02-07T22:53:24.030Z;5;;OBI Markt Wien Triester Str.
2023-02-07T19:30:31.274Z;1;;OBI Markt Wien Triester Str.
2023-02-07T14:57:19.193Z;5;;OBI Markt Wien Triester Str.
2023-02-06T18:37:06.316Z;5;"Riesen Auswahl
Genügend Parkplätze vorhanden
Samstags echt viel los, aber die Mitarbeiter sind sehr bemüht zu helfen wo Sie können
Dankeschön nochmals";OBI Markt Wien Triester Str.
2023-02-06T07:55:25.728Z;5;;OBI Markt Wien Triester Str.
2023-02-05T16:44:22.260Z;5;;OBI Markt Wien Triester Str.
2023-02-05T08:41:47.521Z;5;;OBI Markt Wien Triester Str.
2023-02-04T22:47:09.626Z;5;;OBI Markt Wien Triester Str.
2023-02-04T17:59:10.568Z;5;;OBI Markt Wien Triester Str.
2023-02-04T16:29:12.185Z;4;;OBI Markt Wien Triester Str.
2023-02-04T14:04:53.285Z;5;Die junge Frau die oben im 1.stock arbeitet ist Super bei der Maler abteilung.;OBI Markt Wien Triester Str.
2023-02-04T14:04:44.973Z;5;;OBI Markt Wien Triester Str.
2023-02-04T07:14:24.972Z;4;Großes Sortiment, sehr hilfsbereites Personal. Großer Parkplatz, gut erreichbar. Es empfiehlt sich, Preisvergleiche mit anderen Anbietern anzustellen.;OBI Markt Wien Triester Str.
2023-02-03T17:42:51.028Z;5;;OBI Markt Wien Triester Str.
2023-02-03T12:22:32.399Z;5;;OBI Markt Wien Triester Str.
2023-02-03T12:03:32.685Z;5;;OBI Markt Wien Triester Str.
2023-02-02T19:53:33.386Z;5;Alles bekommen was ich brauchte,schnell gefunden wegen guter sortierung und nette Bedienung.;OBI Markt Wien Triester Str.
2023-01-30T15:51:48.060Z;5;;OBI Markt Wien Triester Str.
2023-01-30T11:21:58.008Z;5;Sehr nette und kompetente Beratung durch Hrn. Frantner;OBI Markt Wien Triester Str.
2023-01-29T10:57:59.246Z;5;Super Service! Insbesondere ein Dank an Sergej aus der Holzabteilung!;OBI Markt Wien Triester Str.
2023-01-29T01:35:54.056Z;4;;OBI Markt Wien Triester Str.
2023-01-28T21:19:00.793Z;4;Zum glück den letzten ofen ergattert nach einigem hin und her sehr freundlich bedient worden;OBI Markt Wien Triester Str.
2023-01-28T20:39:08.805Z;5;;OBI Markt Wien Triester Str.
2023-01-28T14:47:59.274Z;5;;OBI Markt Wien Triester Str.
2023-01-27T16:43:37.151Z;3;;OBI Markt Wien Triester Str.
2023-01-27T14:09:05.289Z;5;;OBI Markt Wien Triester Str.
2023-01-27T12:44:10.159Z;5;????? ?????? ????? ?????????;OBI Markt Wien Triester Str.
2023-01-27T00:52:09.217Z;5;????? ?? ????? ????? OBI ??? ?? ?????????? ???? ??????? ????? ?? ????;OBI Markt Wien Triester Str.
2023-01-26T19:54:31.606Z;5;;OBI Markt Wien Triester Str.
2023-01-26T17:14:20.062Z;5;;OBI Markt Wien Triester Str.
2023-01-26T01:02:21.972Z;5;;OBI Markt Wien Triester Str.
2023-01-25T22:56:42.683Z;5;;OBI Markt Wien Triester Str.
2023-01-25T17:05:20.346Z;5;;OBI Markt Wien Triester Str.
2023-01-25T14:53:16.571Z;5;;OBI Markt Wien Triester Str.
2023-01-24T18:37:22.067Z;4;;OBI Markt Wien Triester Str.
2023-01-24T12:54:05.131Z;3;;OBI Markt Wien Triester Str.
2023-01-24T12:13:36.066Z;5;Soll ich jetzt bewerten wie groß und gut der Laden ist  es ist ein Baumarkt für Leute was Handwerken oder bauen  ja Mitarbeiter findet man nie in Baumärkte die sind alle schüchtern und haben wohl früher sehr viel verstecken gespielt aber ist auch OK so. Sonst man bekommt alles und wer das Glück hat die seltene Spezies eines Mitarbeiters zu finden dann helfen die einem auch sehr freundlich und kompetent weiter aber erst müssen sie gefunden werden;OBI Markt Wien Triester Str.
2023-01-24T09:14:01.562Z;3;;OBI Markt Wien Triester Str.
2023-01-23T03:37:24.050Z;5;;OBI Markt Wien Triester Str.
2023-01-22T14:31:17.791Z;5;;OBI Markt Wien Triester Str.
2023-01-22T08:25:04.693Z;5;;OBI Markt Wien Triester Str.
2023-01-20T20:22:17.376Z;3;;OBI Markt Wien Triester Str.
2023-01-20T15:23:03.793Z;3;;OBI Markt Wien Triester Str.
2023-01-20T11:43:08.806Z;2;Der Markt selbst ist gut sortiert und die Mitarbeiter freundlich, aber wenn alleine bei der Vermittlung 20 Minuten lang niemand abhebt, man auch mehrmals durchgestellt wird, aber 30 Minuten lang niemanden ans Telefon bekommt, dann sollte man das Wort „Kundenservice“ neu überdenken.;OBI Markt Wien Triester Str.
2023-01-20T07:52:48.940Z;5;Sehr hilfsbereites Personal.;OBI Markt Wien Triester Str.
2023-01-19T22:12:50.742Z;5;;OBI Markt Wien Triester Str.
2023-01-19T19:08:18.753Z;2;;OBI Markt Wien Triester Str.
2023-01-19T13:24:49.379Z;5;;OBI Markt Wien Triester Str.
2023-01-18T12:58:02.952Z;1;"Habe 2 Wochen lang auf ein Waschset gewartet, dann heisst es ,,sie können es abholen kommen"", komme es abholen und ist nicht vollständig. Die Aussage: wir werden sie zurückanrufen aber können nicht sagen wann genau. Geldretour und nie wieder obi. NIEMALS ZUVERLÄSSIG GEWESEN!!!!!";OBI Markt Wien Triester Str.
2023-01-17T10:57:45.430Z;5;Very convenient place;OBI Markt Wien Triester Str.
2023-01-16T18:27:37.064Z;5;;OBI Markt Wien Triester Str.
2023-01-16T11:08:18.392Z;5;;OBI Markt Wien Triester Str.
2023-01-15T20:23:02.727Z;5;Sehr Preis Wert.;OBI Markt Wien Triester Str.
2023-01-15T14:08:10.515Z;5;;OBI Markt Wien Triester Str.
2023-01-15T12:15:47.896Z;5;;OBI Markt Wien Triester Str.
2023-01-15T10:07:00.481Z;5;;OBI Markt Wien Triester Str.
2023-01-15T07:22:35.399Z;5;;OBI Markt Wien Triester Str.
2023-01-14T20:13:48.902Z;5;Great selection of tools and accessories, some things are bit pricey.;OBI Markt Wien Triester Str.
2023-01-14T19:48:46.299Z;4;Obi so wie man es gewohnt ist.;OBI Markt Wien Triester Str.
2023-01-14T17:07:52.362Z;4;????? ?????? ???? ????;OBI Markt Wien Triester Str.
2023-01-14T16:25:20.640Z;4;...man muss die richtigen Leute fragen, dann findet man auch alles...;OBI Markt Wien Triester Str.
2023-01-14T12:45:09.314Z;5;;OBI Markt Wien Triester Str.
2023-01-14T12:31:23.942Z;1;Katastrophe mit Mitarbeiter;OBI Markt Wien Triester Str.
2023-01-14T09:23:31.077Z;5;Top;OBI Markt Wien Triester Str.
2023-01-13T12:02:08.830Z;3;;OBI Markt Wien Triester Str.
2023-01-12T22:42:06.210Z;4;2 stöckige verkaufs ebene;OBI Markt Wien Triester Str.
2023-01-12T17:27:14.752Z;5;;OBI Markt Wien Triester Str.
2023-01-12T13:58:12.040Z;5;Freundliche Personal;OBI Markt Wien Triester Str.
2023-01-12T09:02:37.529Z;5;Schön groß, übersichtlich und nette Mitarbeiter.;OBI Markt Wien Triester Str.
2023-01-11T15:59:06.119Z;5;"Habe mir von einem Kollegen eine Stichsäge geborgt aber musste Sägeblätter kaufen bin in den OBI hinein Mitarbeiter bei der Information gefragt sie hat mich Kompetenterweise an den Mitarbeiter in der Metall Abteilung verwiesen weil sie keine Ahnung hatte (sie hätte mir wie viele andere Mitarbeiter in anderen Geschäften es tun irgendwas vorschlagen können).
Beim Mitarbeiter Metall angekommen zeigte ich ihm das Gerät er warf einen Blick drauf, zack 5 Sekunden später hatte ich die passenden Blätter. Das nenne ich kompetente Mitarbeiter wenn es sie nur öfters geben würde es war eine Freude. Komme garantiert wieder sollte ich etwas benötigen.";OBI Markt Wien Triester Str.
2023-01-11T15:54:09.770Z;5;;OBI Markt Wien Triester Str.
2023-01-11T13:55:18.388Z;5;Sehr freundliches Personal;OBI Markt Wien Triester Str.
2023-01-11T13:17:44.549Z;4;;OBI Markt Wien Triester Str.
2023-01-11T11:11:35.729Z;5;;OBI Markt Wien Triester Str.
2023-01-10T12:27:04.240Z;5;Dort sind alle höflich und nett. Beraten dich sehr gut. Gehe gerne hin.;OBI Markt Wien Triester Str.
2023-01-10T06:05:22.850Z;5;Super;OBI Markt Wien Triester Str.
2023-01-09T23:18:27.306Z;5;;OBI Markt Wien Triester Str.
2023-01-09T20:01:08.712Z;5;;OBI Markt Wien Triester Str.
2023-01-09T10:44:50.043Z;5;;OBI Markt Wien Triester Str.
