likesCount;publishedAtDate;stars;text;title
2;2023-03-07T17:15:11.299Z;5;Halal (for real) and very good the donner of the turkish;FERHAT D?NER
2;2023-03-07T15:56:25.861Z;5;Ein Wort reicht. Perfekt;FERHAT D?NER
0;2023-03-07T04:52:53.462Z;5;;FERHAT D?NER
0;2023-03-06T20:51:42.077Z;5;;FERHAT D?NER
1;2023-03-06T20:33:54.033Z;5;Wahrscheinlich einer der besten D?ner Wiens. Das Fleisch ist lecker, das Brot fluffig und der Salat frisch. So sollte es sein. Die Preise sind fair. Das Team ist super drauf. Nur ist der Laden etwas zu klein, sodass die Atmosph?re nicht sehr entspannt ist. Leider war bei meinem Besuch keine Kartenzahlung m?glich. Das sollte heutzutage eigentlich selbstverst?ndlich sein.;FERHAT D?NER
0;2023-03-06T20:30:56.111Z;2;Mitarbeiterin f?hrt Privatgespr?che w?hrend man eine Bestellung aufgibt, und fragt nicht Mal nach was man m?chte! Nach der langen Wartezeit eigentlich eine Frechheit. Der D?ner war geschmacklich gut.;FERHAT D?NER
1;2023-03-06T19:48:27.234Z;5;Fleisch ist wirklich gut;FERHAT D?NER
1;2023-03-06T18:47:04.961Z;5;Super clean and super tasty. Very Halal. Thnx for the experience!!!;FERHAT D?NER
1;2023-03-06T16:14:59.080Z;5;Sehr gutes Essen;FERHAT D?NER
0;2023-03-06T16:00:29.227Z;4;;FERHAT D?NER
1;2023-03-06T10:50:00.024Z;5;Ganz andere Liga, kein Vergleich zu den standardm??igen, minderwertigen D?nerspie?en??;FERHAT D?NER
2;2023-03-05T11:34:30.076Z;5;Great D?ner!! You will probably have to wait a bit for it but it's worth it! Tea is passed out while you're waiting in line which is a nice touch.;FERHAT D?NER
0;2023-03-04T21:38:47.269Z;5;;FERHAT D?NER
0;2023-03-04T21:18:10.894Z;5;;FERHAT D?NER
1;2023-03-04T21:17:13.767Z;5;Pycha!;
;;;;
0;2023-03-04T19:10:18.223Z;5;;FERHAT D?NER
1;2023-03-04T18:30:10.099Z;5;Best Donner I had in my life!;FERHAT D?NER
1;2023-03-04T17:16:54.712Z;2;Schlange 25 Minuten dann kann ich sagen das D?r?m war eiskalt Abwahl es ?berall geschrieben haben es wird ?ber Feuer frisch gemacht und bei 120 g waren da auch nicht drin der wiegt es mit einer Pfanne ab das Fleisch waren nicht einmal 100g pure Entt?uschung um den preis ?5,80 die Qualit?t eine Frechheit und das soll das beste Kebab in Wien seien ??nebenbei kommen die nicht nach mit den scheiden von Fleisch war noch teilweise rosa nicht Gegrillt eher roh !!!Preis Leistung stimmt hier ?berhaupt nicht !!!!;FERHAT D?NER
0;2023-03-04T17:12:07.236Z;5;;FERHAT D?NER
0;2023-03-04T15:50:25.308Z;1;Lasst euch dort verarschen f?r ein kebab mehr bezahlen aber minder Qualit?t rohes fleisch viel spa? damit;FERHAT D?NER
0;2023-03-04T10:56:09.181Z;5;;FERHAT D?NER
0;2023-03-04T07:34:41.156Z;5;;FERHAT D?NER
0;2023-03-03T23:54:09.889Z;2;Hab den D?ner ?fter getestet. In 120g, in 180g und das gleiche auch als D?r?m. D?r?m ist besser als das Sandwich und da reichen auch die 120g. Der D?ner/D?r?m ist gut, keine Frage, aber der ?Welt beste? ist der noch lange nicht. Ich finde das der Seval in Augsburg um ein Vielfaches besser ist. Ist aber auch Geschmacks Sache?;FERHAT D?NER
0;2023-03-03T15:05:16.582Z;2;Hatte zum ersten Mal nach dem Verzehr eines Durum Kebab's eine allergische Reaktion!;FERHAT D?NER
0;2023-03-03T14:50:02.932Z;5;;FERHAT D?NER
0;2023-03-03T14:07:16.174Z;4;;FERHAT D?NER
0;2023-03-03T13:22:46.998Z;5;????;FERHAT D?NER
0;2023-03-03T12:13:09.177Z;4;;FERHAT D?NER
0;2023-03-02T06:08:41.266Z;5;;FERHAT D?NER
0;2023-03-01T20:15:15.305Z;1;Ich gebe es 1 Stern weil man muss viel warten und es ist sehr teuer ich wollte kein zwiebel die haben einfach voll es mit zwiebel gemacht zeit verschwendung.;FERHAT D?NER
0;2023-03-01T17:36:07.318Z;5;;FERHAT D?NER
0;2023-03-01T17:29:26.208Z;5;Super lecker mit wartezeit.;FERHAT D?NER
0;2023-03-01T11:24:36.322Z;4;Schmeckt gut, aber bisschen teuer;FERHAT D?NER
0;2023-03-01T02:25:23.552Z;5;;FERHAT D?NER
0;2023-02-28T20:40:21.519Z;5;;FERHAT D?NER
0;2023-02-28T19:27:41.375Z;3;;FERHAT D?NER
0;2023-02-28T19:26:35.464Z;5;;FERHAT D?NER
