isLocalGuide;likesCount;stars;text;title
false;15;1;One of the worst universities in dealing with students. I came to register for a bachelor?s degree, and the employee at the registration office was disrespectful and the way she spoke to me recklessly, so I changed my mind about studying at the university, which is not respected by its employees and withdrew my papers;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;1;5;Ein Ort des Wissens;Technische Universität Wien
true;0;5;Sehr nette Bedienstete in der TU am Getreidemarkt!!!??????????;Technische Universität Wien
false;0;3;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;5;Impfungen im Prechtlsaal gehen anstandslos und sehr rasch. Freundliches Personal!;Technische Universität Wien
false;0;5;Es ist sehr gut organisiert.Auch sehr freundlich.;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;1;5;????;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;1;5;Impfen #booster auch ohne Anmeldung möglich! Im Haupthaus beim Karlsplatz;Technische Universität Wien
false;0;2;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;7;5;Körner Bester Mann;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;4;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;Impfstrasse / TU-Resselpark;
;;;;
true;0;5;;Technische Universität Wien
true;0;5;Derzeit viele umbauten oder Renovierungen aber sonst alles top der Kuppelsall ist sehr schön geworden;Technische Universität Wien
true;0;5;Správná volba pro studium technicky zam??ených obor?.;Technische Universität Wien
false;0;1;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
