Summary
Meine Erwartungen wurden nicht erfüllt. Mich haben sie als Fan aber sicher nicht gewonnen.
döner war langweilig.könnte besser gewürzt werden
berbewertet und teuer für so einen kleinen döner
Gibt bessere DönerPreis Leistung nicht OK.
Eine Stunde Wartezeit f?r einen geschmacklich unterdurchschnittlichen Döner. Zudem alles leider nicht sehr hygienisch und sauber vor Ort.
Ich habe viel Gutes gelesen/gehört, war dann aber etwas enttäuscht. Erstens finde ich den Döner eher durchschnittlich und zweitens gab es kaum So?en.
Sehr viele Kunden stehen schlange. Wir waren zu 3 dort und alle haben das selbe empfunden.
Der Hype ist nicht nachvollziehbar.
Nichts Besonderes, zu viele Menschen auf 5m2 und kaum Platz um da zu sitzen und zu essen. Fleisch ist besser als irgendwo anders.
Die Mitarbeiter ist sehr unhöflich.
