Summary
Komplett veraltete Gebäude und der Unterricht ist ebenfalls sehr zurückgeblieben. Man wird hier einfach nur rausgeekelt und merkt, dass man dort nicht erwünscht ist.
Totaler Schwachsinn, geh lieber aufs Technikum!
Organisatorisch das reinste Chaos.
Ganz ehrlich wie hat eine Technik-Uni so ein schreckliches Onlineportal.
Studentenfeindlicher geht es kaum. Gewinnt man hier nicht, kann man ein ganzes Jahr warten.
Schlechteste Universität an der man studieren kann.
Das Studium dauert zu lang und man lernt da nur Theorie.
Falls Sie es sich überlegen: VERGESSEN SIE ES!!Studentenfeindlicher geht es kaum. Die komplette Uni ist eine absolute Frechheit.
Die komplette Uni ist eine absolute Frechheit. Studentenfeindlicher geht es kaum.
Studentenfeindlicher geht es kaum. Die komplette Uni ist eine absolute Frechheit.
