Summary
Mann findet keine Person zu informieren
Offensichtlich versagt hier das Management und die Filialleitung in jeder Linie. Sehr wenig und ausgesprochen demotivierte Mitarbeiter sowie Beratung.
Bei Garagenausfahrt mega viel Müll,sauber machen!!
Muss an einem weniger frequentierten Werktag bequemer sein
Der Service ist immer abhängig vom jeweiligen Mitarbeiter den man fragt. Manchmal gut manchmal weniger gut ??
Es gibt einen Bankomaten wo sieben Leute vor uns angestellt waren. Beim Bezahlen wurde uns dann gesagt, dass auch hier nur Barzahlungen möglich sind.
Man wird alleine gelassen oder unfreundlich  angeschnauzt. Statt dessen stehen sie lieber herum und amüsieren sich.
Als wir dann dort ankamen wusste die Verkäuferin im 2 .Stock von nichts. Wir habe sie dann stehen lassen und sind gegangen.
Der Markt bietet für mich keine gute Qualität
Bischen schwerer zu erreichen mit Öffis vom Wienerberg aus gesehn.
